item_id,title,description,category,subcategory,brand,price,quality_score,popularity_score,is_cold_start,created_at
item_000035,PeakAscent Eco Yoga,"Discover PeakAscent Eco Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,595.07,0.3097,0.4233,true,2026-03-07T19:10:46.112173+00:00
item_000036,ChefElite Ultra Bedding,Experience excellence with ChefElite Ultra Bedding. Premium home & kitchen choice.,Home & Kitchen,Bedding,ChefElite,170.59,0.8110,0.1393,true,2026-03-29T18:41:18.138590+00:00
item_000037,EcoFresh Classic Air Quality,"Discover EcoFresh Classic Air Quality, the perfect air quality solution.",Health & Household,Air Quality,EcoFresh,27.47,0.5336,0.2357,true,2026-03-11T10:17:15.125671+00:00
item_000038,DriveSafe Modern Oils & Fluid,Experience excellence with DriveSafe Modern Oils & Fluid. Premium automotive choice.,Automotive,Oils & Fluids,DriveSafe,177.09,0.6373,0.3711,true,2026-03-24T23:05:04.346824+00:00
item_000039,DriveSafe Professional Oils & Fluid,Top-rated oils & fluids product from DriveSafe. Ideal for daily use.,Automotive,Oils & Fluids,DriveSafe,325.53,0.6494,0.2072,true,2026-03-07T03:24:59.320822+00:00
item_000040,SpiceTrail Compact Spice,SpiceTrail Compact Spice delivers outstanding performance in spices.,Grocery & Gourmet Food,Spices,SpiceTrail,16.83,0.7239,0.0173,true,2026-03-26T21:47:46.845759+00:00
item_000041,AtlasBooks Premium Comic,Top-rated comics product from AtlasBooks. Ideal for daily use.,Books,Comics,AtlasBooks,47.46,0.8087,0.2047,true,2026-03-03T02:45:13.687667+00:00
item_000042,EcoFresh Professional Air Quality,EcoFresh Professional Air Quality delivers outstanding performance in air quality.,Health & Household,Air Quality,EcoFresh,75.94,0.9397,0.3003,true,2026-03-09T03:46:37.288229+00:00
item_000043,AtlasBooks Modern Comic,"Discover AtlasBooks Modern Comic, the perfect comics solution.",Books,Comics,AtlasBooks,79.43,0.6318,0.3955,true,2026-03-22T20:02:02.930275+00:00
item_000044,BrainBoost Everyday Action Figure,BrainBoost Everyday Action Figure delivers outstanding performance in action figures.,Toys & Games,Action Figures,BrainBoost,124.04,0.6281,0.1498,true,2026-03-31T19:22:53.150764+00:00
item_000045,DriveSafe Modern Oils & Fluid,DriveSafe Modern Oils & Fluid — high-quality oils & fluids for automotive enthusiasts.,Automotive,Oils & Fluids,DriveSafe,474.91,0.3050,0.3257,true,2026-03-13T00:41:19.720756+00:00
item_000046,GlowLab Premium Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,23.05,0.4240,0.2320,true,2026-03-26T11:36:24.420630+00:00
item_000047,ChefElite Deluxe Bedding,ChefElite Deluxe Bedding — high-quality bedding for home & kitchen enthusiasts.,Home & Kitchen,Bedding,ChefElite,131.36,0.6100,0.2712,true,2026-03-18T18:17:05.363977+00:00
item_000048,ChefElite Classic Bedding,"Discover ChefElite Classic Bedding, the perfect bedding solution.",Home & Kitchen,Bedding,ChefElite,236.76,0.8827,0.0969,true,2026-03-21T16:08:40.646051+00:00
item_000049,ChefElite Modern Bedding,Top-rated bedding product from ChefElite. Ideal for daily use.,Home & Kitchen,Bedding,ChefElite,17.17,0.7314,0.2869,true,2026-03-26T23:10:00.775142+00:00
item_000050,PeakAscent Premium Yoga,"Discover PeakAscent Premium Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,181.61,0.8015,0.4188,true,2026-03-06T09:28:49.009873+00:00
item_000051,GlowLab Professional Skincare,Experience excellence with GlowLab Professional Skincare. Premium beauty & personal care choice.,Beauty & Personal Care,Skincare,GlowLab,48.32,0.7312,0.0273,false,2026-01-31T13:04:32.086572+00:00
item_000052,ChefElite Classic Bedding,ChefElite Classic Bedding — high-quality bedding for home & kitchen enthusiasts.,Home & Kitchen,Bedding,ChefElite,485.20,0.8087,0.2418,false,2026-02-26T18:17:35.533704+00:00
item_000053,EleganceWear Premium Women's Dresse,Experience excellence with EleganceWear Premium Women's Dresse. Premium clothing choice.,Clothing,Women's Dresses,EleganceWear,250.76,0.5032,0.2857,false,2026-01-22T07:54:05.738263+00:00
item_000054,BrainBoost Premium Action Figure,"Discover BrainBoost Premium Action Figure, the perfect action figures solution.",Toys & Games,Action Figures,BrainBoost,177.16,0.7401,0.2388,false,2026-01-04T05:34:45.072564+00:00
item_000055,ChefElite Essential Bedding,Top-rated bedding product from ChefElite. Ideal for daily use.,Home & Kitchen,Bedding,ChefElite,508.15,0.6160,0.6998,false,2026-01-13T03:40:59.030630+00:00
item_000056,PeakAscent Professional Yoga,"Discover PeakAscent Professional Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,49.66,0.8302,0.0449,false,2026-02-23T14:11:13.256370+00:00
item_000057,ChefElite Premium Bedding,Top-rated bedding product from ChefElite. Ideal for daily use.,Home & Kitchen,Bedding,ChefElite,133.54,0.5204,0.2699,false,2026-02-08T18:06:28.451045+00:00
item_000058,PeakAscent Essential Yoga,PeakAscent Essential Yoga delivers outstanding performance in yoga.,Sports & Outdoors,Yoga,PeakAscent,198.24,0.5185,0.3284,false,2026-01-14T10:50:19.123509+00:00
item_000059,BrainBoost Professional Action Figure,BrainBoost Professional Action Figure — high-quality action figures for toys & games enthusiasts.,Toys & Games,Action Figures,BrainBoost,79.25,0.8350,0.1099,false,2026-02-15T00:37:30.570147+00:00
item_000060,TechPro Essential Smartphone,Top-rated smartphones product from TechPro. Ideal for daily use.,Electronics,Smartphones,TechPro,1923.43,0.6393,0.2957,false,2026-02-13T14:10:09.755829+00:00
item_000061,ChefElite Ultra Bedding,ChefElite Ultra Bedding delivers outstanding performance in bedding.,Home & Kitchen,Bedding,ChefElite,270.59,0.6961,0.1887,false,2026-01-14T04:48:19.421753+00:00
item_000062,PeakAscent Everyday Yoga,PeakAscent Everyday Yoga — high-quality yoga for sports & outdoors enthusiasts.,Sports & Outdoors,Yoga,PeakAscent,578.21,0.9102,0.3165,false,2026-01-14T16:41:48.850773+00:00
item_000063,EleganceWear Modern Women's Dresse,EleganceWear Modern Women's Dresse delivers outstanding performance in women's dresses.,Clothing,Women's Dresses,EleganceWear,191.61,0.4210,0.2483,false,2026-01-30T16:00:42.466817+00:00
item_000064,TechPro Deluxe Smartphone,Top-rated smartphones product from TechPro. Ideal for daily use.,Electronics,Smartphones,TechPro,2491.40,0.8420,0.2316,false,2026-01-18T00:23:48.145933+00:00
item_000065,ChefElite Everyday Bedding,Top-rated bedding product from ChefElite. Ideal for daily use.,Home & Kitchen,Bedding,ChefElite,242.02,0.7906,0.1374,false,2026-01-16T12:15:55.275226+00:00
item_000066,SpiceTrail Premium Spice,Top-rated spices product from SpiceTrail. Ideal for daily use.,Grocery & Gourmet Food,Spices,SpiceTrail,40.08,0.7370,0.5404,false,2026-02-13T10:52:42.962313+00:00
item_000067,ChefElite Ultra Bedding,"Discover ChefElite Ultra Bedding, the perfect bedding solution.",Home & Kitchen,Bedding,ChefElite,419.28,0.6984,0.2289,false,2026-01-15T05:36:55.130751+00:00
item_000068,GlowLab Classic Skincare,Experience excellence with GlowLab Classic Skincare. Premium beauty & personal care choice.,Beauty & Personal Care,Skincare,GlowLab,128.40,0.8521,0.4067,false,2026-02-01T18:09:09.824373+00:00
item_000069,ChefElite Essential Bedding,"Discover ChefElite Essential Bedding, the perfect bedding solution.",Home & Kitchen,Bedding,ChefElite,593.35,0.8345,0.7543,false,2026-01-07T17:43:20.384913+00:00
item_000070,ChefElite Classic Bedding,ChefElite Classic Bedding — high-quality bedding for home & kitchen enthusiasts.,Home & Kitchen,Bedding,ChefElite,491.82,0.6162,0.3382,false,2026-02-11T13:57:36.860097+00:00
item_000071,DriveSafe Eco Oils & Fluid,DriveSafe Eco Oils & Fluid delivers outstanding performance in oils & fluids.,Automotive,Oils & Fluids,DriveSafe,495.04,0.7746,0.0153,false,2026-01-02T18:02:24.299710+00:00
item_000072,TechPro Essential Smartphone,Experience excellence with TechPro Essential Smartphone. Premium electronics choice.,Electronics,Smartphones,TechPro,1981.26,0.8194,0.2225,false,2026-02-22T22:38:14.959208+00:00
item_000073,TechPro Professional Smartphone,Experience excellence with TechPro Professional Smartphone. Premium electronics choice.,Electronics,Smartphones,TechPro,2359.44,0.6152,0.1144,false,2026-02-27T02:16:55.161070+00:00
item_000074,BrainBoost Ultra Action Figure,BrainBoost Ultra Action Figure delivers outstanding performance in action figures.,Toys & Games,Action Figures,BrainBoost,89.64,0.3534,0.6384,false,2026-01-17T17:41:56.509072+00:00
item_000075,TechPro Premium Smartphone,Experience excellence with TechPro Premium Smartphone. Premium electronics choice.,Electronics,Smartphones,TechPro,2189.99,0.6391,0.1673,false,2026-02-21T08:22:14.474221+00:00
item_000076,PeakAscent Classic Yoga,Top-rated yoga product from PeakAscent. Ideal for daily use.,Sports & Outdoors,Yoga,PeakAscent,465.86,0.7996,0.0782,false,2026-01-21T17:55:23.779965+00:00
item_000077,GlowLab Compact Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,142.93,0.7508,0.3074,false,2026-01-02T01:47:35.528114+00:00
item_000078,EcoFresh Ultra Air Quality,EcoFresh Ultra Air Quality delivers outstanding performance in air quality.,Health & Household,Air Quality,EcoFresh,72.64,0.6377,0.1912,false,2026-02-17T09:42:17.510264+00:00
item_000079,GlowLab Classic Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,57.42,0.6497,0.2803,false,2026-02-13T09:02:59.205514+00:00
item_000080,EleganceWear Essential Women's Dresse,EleganceWear Essential Women's Dresse delivers outstanding performance in women's dresses.,Clothing,Women's Dresses,EleganceWear,297.41,0.7360,0.0337,false,2026-01-31T14:03:13.849851+00:00
item_000081,ChefElite Ultra Bedding,Experience excellence with ChefElite Ultra Bedding. Premium home & kitchen choice.,Home & Kitchen,Bedding,ChefElite,157.15,0.7344,0.1559,false,2026-01-11T11:09:04.008373+00:00
item_000082,EleganceWear Everyday Women's Dresse,Top-rated women's dresses product from EleganceWear. Ideal for daily use.,Clothing,Women's Dresses,EleganceWear,244.73,0.8093,0.5555,false,2026-01-16T11:13:35.143110+00:00
item_000083,GlowLab Premium Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,87.57,0.4935,0.4180,false,2026-01-24T08:31:19.292381+00:00
item_000084,EcoFresh Deluxe Air Quality,"Discover EcoFresh Deluxe Air Quality, the perfect air quality solution.",Health & Household,Air Quality,EcoFresh,73.40,0.5094,0.1935,false,2026-01-02T13:04:03.167047+00:00
item_000085,DriveSafe Ultra Oils & Fluid,Experience excellence with DriveSafe Ultra Oils & Fluid. Premium automotive choice.,Automotive,Oils & Fluids,DriveSafe,435.97,0.7520,0.1294,false,2026-01-21T22:22:57.074769+00:00
item_000086,EcoFresh Deluxe Air Quality,EcoFresh Deluxe Air Quality — high-quality air quality for health & household enthusiasts.,Health & Household,Air Quality,EcoFresh,74.13,0.6396,0.0266,false,2026-02-07T17:58:47.884152+00:00
item_000087,GlowLab Ultra Skincare,Experience excellence with GlowLab Ultra Skincare. Premium beauty & personal care choice.,Beauty & Personal Care,Skincare,GlowLab,148.29,0.7057,0.2653,false,2026-02-10T18:57:30.683779+00:00
item_000088,TechPro Compact Smartphone,TechPro Compact Smartphone — high-quality smartphones for electronics enthusiasts.,Electronics,Smartphones,TechPro,388.16,0.9103,0.1486,false,2026-01-15T05:00:24.387423+00:00
item_000089,SpiceTrail Essential Spice,"Discover SpiceTrail Essential Spice, the perfect spices solution.",Grocery & Gourmet Food,Spices,SpiceTrail,77.25,0.8354,0.4640,false,2026-01-04T04:27:24.539416+00:00
item_000090,GlowLab Eco Skincare,Top-rated skincare product from GlowLab. Ideal for daily use.,Beauty & Personal Care,Skincare,GlowLab,66.77,0.5275,0.2773,false,2026-01-23T12:35:16.999398+00:00
item_000091,BrainBoost Compact Action Figure,"Discover BrainBoost Compact Action Figure, the perfect action figures solution.",Toys & Games,Action Figures,BrainBoost,113.36,0.7799,0.1934,false,2026-02-07T19:54:55.036357+00:00
item_000092,SpiceTrail Classic Spice,Top-rated spices product from SpiceTrail. Ideal for daily use.,Grocery & Gourmet Food,Spices,SpiceTrail,67.84,0.6732,0.2197,false,2026-01-21T18:16:31.754819+00:00
item_000093,TechPro Premium Smartphone,TechPro Premium Smartphone — high-quality smartphones for electronics enthusiasts.,Electronics,Smartphones,TechPro,1402.10,0.7457,0.2996,false,2026-01-16T11:35:03.862936+00:00
item_000094,EleganceWear Everyday Women's Dresse,EleganceWear Everyday Women's Dresse — high-quality women's dresses for clothing enthusiasts.,Clothing,Women's Dresses,EleganceWear,251.20,0.7111,0.2812,false,2026-01-29T19:42:23.043950+00:00
item_000095,SpiceTrail Modern Spice,SpiceTrail Modern Spice — high-quality spices for grocery & gourmet food enthusiasts.,Grocery & Gourmet Food,Spices,SpiceTrail,9.49,0.5605,0.3383,false,2026-01-08T20:21:46.574517+00:00
item_000096,TechPro Classic Smartphone,Experience excellence with TechPro Classic Smartphone. Premium electronics choice.,Electronics,Smartphones,TechPro,2120.49,0.7020,0.4865,false,2026-02-11T17:37:21.614020+00:00
item_000097,EcoFresh Ultra Air Quality,EcoFresh Ultra Air Quality delivers outstanding performance in air quality.,Health & Household,Air Quality,EcoFresh,12.09,0.4965,0.3496,false,2026-02-21T22:09:31.539864+00:00
item_000098,GlowLab Ultra Skincare,"Discover GlowLab Ultra Skincare, the perfect skincare solution.",Beauty & Personal Care,Skincare,GlowLab,96.57,0.7637,0.2335,false,2026-01-08T22:31:23.327674+00:00
item_000099,EleganceWear Essential Women's Dresse,"Discover EleganceWear Essential Women's Dresse, the perfect women's dresses solution.",Clothing,Women's Dresses,EleganceWear,175.08,0.5026,0.4825,false,2026-01-14T00:39:00.540668+00:00
item_000100,AtlasBooks Classic Comic,Top-rated comics product from AtlasBooks. Ideal for daily use.,Books,Comics,AtlasBooks,21.78,0.8199,0.0896,false,2026-01-06T14:18:41.026625+00:00
item_000101,EcoFresh Ultra Air Quality,Top-rated air quality product from EcoFresh. Ideal for daily use.,Health & Household,Air Quality,EcoFresh,34.65,0.5051,0.1209,false,2026-01-14T06:12:44.622458+00:00
item_000102,TechPro Everyday Smartphone,"Discover TechPro Everyday Smartphone, the perfect smartphones solution.",Electronics,Smartphones,TechPro,1872.58,0.5615,0.3550,false,2026-01-27T21:25:40.660104+00:00
item_000103,DriveSafe Modern Oils & Fluid,DriveSafe Modern Oils & Fluid — high-quality oils & fluids for automotive enthusiasts.,Automotive,Oils & Fluids,DriveSafe,213.25,0.6717,0.2546,false,2026-02-06T03:29:51.461585+00:00
item_000104,PeakAscent Classic Yoga,Experience excellence with PeakAscent Classic Yoga. Premium sports & outdoors choice.,Sports & Outdoors,Yoga,PeakAscent,17.93,0.6644,0.4567,false,2026-02-20T07:46:07.862999+00:00
item_000105,ChefElite Essential Bedding,"Discover ChefElite Essential Bedding, the perfect bedding solution.",Home & Kitchen,Bedding,ChefElite,711.96,0.7300,0.1748,false,2026-02-20T20:46:37.530679+00:00
item_000106,BrainBoost Professional Action Figure,"Discover BrainBoost Professional Action Figure, the perfect action figures solution.",Toys & Games,Action Figures,BrainBoost,41.92,0.8925,0.2895,false,2026-02-23T15:36:31.988090+00:00
item_000107,EleganceWear Essential Women's Dresse,"Discover EleganceWear Essential Women's Dresse, the perfect women's dresses solution.",Clothing,Women's Dresses,EleganceWear,168.37,0.6138,0.2771,false,2026-01-09T00:18:47.139728+00:00
item_000108,BrainBoost Ultra Action Figure,Top-rated action figures product from BrainBoost. Ideal for daily use.,Toys & Games,Action Figures,BrainBoost,151.05,0.6043,0.1891,false,2026-01-01T19:00:39.806771+00:00
item_000109,TechPro Eco Smartphone,TechPro Eco Smartphone — high-quality smartphones for electronics enthusiasts.,Electronics,Smartphones,TechPro,1706.21,0.4942,0.1357,false,2026-02-03T04:33:32.991071+00:00
item_000110,EcoFresh Premium Air Quality,Top-rated air quality product from EcoFresh. Ideal for daily use.,Health & Household,Air Quality,EcoFresh,75.73,0.8118,0.1326,false,2026-02-17T21:20:49.657227+00:00
item_000111,ChefElite Classic Bedding,ChefElite Classic Bedding — high-quality bedding for home & kitchen enthusiasts.,Home & Kitchen,Bedding,ChefElite,442.08,0.5197,0.2011,false,2026-02-13T05:14:31.050417+00:00
item_000112,TechPro Professional Smartphone,"Discover TechPro Professional Smartphone, the perfect smartphones solution.",Electronics,Smartphones,TechPro,1253.50,0.8019,0.0721,false,2026-02-16T03:50:27.700143+00:00
item_000113,EcoFresh Eco Air Quality,EcoFresh Eco Air Quality — high-quality air quality for health & household enthusiasts.,Health & Household,Air Quality,EcoFresh,44.05,0.6630,0.2582,false,2026-02-11T03:29:00.652775+00:00
item_000114,AtlasBooks Compact Comic,AtlasBooks Compact Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,36.91,0.4341,0.1059,false,2026-02-06T00:33:08.763940+00:00
item_000115,BrainBoost Premium Action Figure,BrainBoost Premium Action Figure delivers outstanding performance in action figures.,Toys & Games,Action Figures,BrainBoost,127.17,0.5780,0.2443,false,2026-02-08T08:18:43.551551+00:00
item_000116,EleganceWear Modern Women's Dresse,EleganceWear Modern Women's Dresse — high-quality women's dresses for clothing enthusiasts.,Clothing,Women's Dresses,EleganceWear,205.87,0.6346,0.1271,false,2026-01-05T13:35:59.595049+00:00
item_000117,AtlasBooks Everyday Comic,"Discover AtlasBooks Everyday Comic, the perfect comics solution.",Books,Comics,AtlasBooks,49.36,0.9345,0.0237,false,2026-02-17T05:38:27.826575+00:00
item_000118,AtlasBooks Professional Comic,AtlasBooks Professional Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,12.10,0.7177,0.2586,false,2026-01-25T09:27:26.509122+00:00
item_000119,EcoFresh Premium Air Quality,EcoFresh Premium Air Quality delivers outstanding performance in air quality.,Health & Household,Air Quality,EcoFresh,49.98,0.6933,0.3488,false,2026-02-17T13:18:28.077955+00:00
item_000120,BrainBoost Essential Action Figure,Experience excellence with BrainBoost Essential Action Figure. Premium toys & games choice.,Toys & Games,Action Figures,BrainBoost,136.67,0.6661,0.0449,false,2026-02-18T06:39:07.993633+00:00
item_000121,AtlasBooks Everyday Comic,AtlasBooks Everyday Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,77.58,0.4456,0.1269,false,2026-01-27T14:54:08.148345+00:00
item_000122,AtlasBooks Professional Comic,Experience excellence with AtlasBooks Professional Comic. Premium books choice.,Books,Comics,AtlasBooks,29.62,0.8392,0.1969,false,2026-02-09T13:35:08.905560+00:00
item_000123,GlowLab Deluxe Skincare,GlowLab Deluxe Skincare delivers outstanding performance in skincare.,Beauty & Personal Care,Skincare,GlowLab,28.73,0.6687,0.2310,false,2026-02-27T01:55:10.587725+00:00
item_000124,BrainBoost Professional Action Figure,BrainBoost Professional Action Figure — high-quality action figures for toys & games enthusiasts.,Toys & Games,Action Figures,BrainBoost,39.93,0.7776,0.1090,false,2026-01-02T19:10:31.376359+00:00
item_000125,ChefElite Classic Bedding,Experience excellence with ChefElite Classic Bedding. Premium home & kitchen choice.,Home & Kitchen,Bedding,ChefElite,585.05,0.7556,0.2408,false,2026-02-28T10:54:33.108507+00:00
item_000126,SpiceTrail Professional Spice,SpiceTrail Professional Spice delivers outstanding performance in spices.,Grocery & Gourmet Food,Spices,SpiceTrail,62.63,0.7842,0.1076,false,2026-02-24T10:35:47.250494+00:00
item_000127,AtlasBooks Classic Comic,AtlasBooks Classic Comic — high-quality comics for books enthusiasts.,Books,Comics,AtlasBooks,74.05,0.9651,0.1676,false,2026-02-18T19:57:50.843099+00:00
item_000128,DriveSafe Deluxe Oils & Fluid,DriveSafe Deluxe Oils & Fluid delivers outstanding performance in oils & fluids.,Automotive,Oils & Fluids,DriveSafe,148.92,0.6445,0.0120,false,2026-01-05T13:49:26.002716+00:00
item_000129,PeakAscent Compact Yoga,PeakAscent Compact Yoga delivers outstanding performance in yoga.,Sports & Outdoors,Yoga,PeakAscent,335.35,0.7754,0.2293,false,2026-02-21T19:20:15.213470+00:00
item_000130,PeakAscent Classic Yoga,"Discover PeakAscent Classic Yoga, the perfect yoga solution.",Sports & Outdoors,Yoga,PeakAscent,332.41,0.7638,0.0767,false,2026-02-14T22:00:48.867793+00:00
